#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         584     1.42008     1.44089  0.00234177
         585     1.42308     1.44086  0.00233796
         586     1.42625     1.44084  0.00233411
         587     1.42954     1.44082  0.00233021
         588     1.43291      1.4408  0.00232629
         589     1.43633      1.4408  0.00232235
         590     1.43974     1.44079  0.00231841
         591     1.44312      1.4408  0.00231449
         592     1.44644     1.44081   0.0023106
         593     1.44965     1.44082  0.00230676
         594     1.45274     1.44084  0.00230296
         595     1.45567     1.44087  0.00229922
         596     1.45843      1.4409  0.00229555
         597       1.461     1.44093  0.00229196
         598     1.46336     1.44097  0.00228843
         599     1.46552     1.44101  0.00228498
         600     1.46744     1.44105  0.00228159
         601     1.46914      1.4411  0.00227828
         602     1.47061     1.44115  0.00227502
         603     1.47185      1.4412  0.00227182
         604     1.47287     1.44125  0.00226866
         605     1.47367     1.44131  0.00226554
         606     1.47425     1.44136  0.00226246
         607     1.47462     1.44141  0.00225939
         608     1.47481     1.44147  0.00225634
         609      1.4748     1.44152   0.0022533
         610     1.47463     1.44158  0.00225026
         611      1.4743     1.44163  0.00224722
         612     1.47382     1.44168  0.00224416
         613      1.4732     1.44174  0.00224109
         614     1.47246     1.44179    0.002238
         615      1.4716     1.44183  0.00223488
         616     1.47063     1.44188  0.00223174
         617     1.46956     1.44193  0.00222858
         618      1.4684     1.44197  0.00222538
         619     1.46714     1.44201  0.00222216
         620      1.4658     1.44205  0.00221891
         621     1.46437     1.44208  0.00221562
         622     1.46286     1.44212  0.00221231
         623     1.46128     1.44215  0.00220898
         624     1.45962     1.44218  0.00220561
         625     1.45789      1.4422  0.00220223
         626     1.45611     1.44222  0.00219882
         627     1.45428     1.44224   0.0021954
         628      1.4524     1.44226  0.00219196
         629     1.45051     1.44227  0.00218852
         630      1.4486     1.44228  0.00218507
         631      1.4467     1.44229  0.00218161
         632     1.44483     1.44229  0.00217817
         633     1.44302     1.44229  0.00217473
         634      1.4413     1.44229   0.0021713
         635      1.4397     1.44229  0.00216788
         636     1.43824     1.44228  0.00216448
         637     1.43696     1.44227   0.0021611
         638     1.43589     1.44226  0.00215774
         639     1.43506     1.44225  0.00215439
         640      1.4345     1.44224  0.00215106
         641     1.43424     1.44223  0.00214774
         642      1.4343     1.44222  0.00214443
         643      1.4347      1.4422  0.00214112
         644     1.43545     1.44219  0.00213782
         645     1.43657     1.44218  0.00213453
         646     1.43804     1.44218  0.00213123
         647     1.43988     1.44217  0.00212794
         648     1.44206     1.44217  0.00212466
         649     1.44458     1.44218  0.00212139
         650      1.4474     1.44219  0.00211814
         651      1.4505      1.4422  0.00211492
         652     1.45386     1.44222  0.00211176
         653     1.45742     1.44224  0.00210865
         654     1.46116     1.44227  0.00210562
         655     1.46502      1.4423   0.0021027
         656     1.46898     1.44234  0.00209988
         657     1.47297     1.44239   0.0020972
         658     1.47695     1.44244  0.00209467
         659     1.48088      1.4425  0.00209231
         660     1.48471     1.44257  0.00209011
         661     1.48839     1.44264   0.0020881
         662      1.4919     1.44271  0.00208627
         663     1.49518     1.44279  0.00208463
         664     1.49819     1.44287  0.00208316
         665     1.50092     1.44296  0.00208185
         666     1.50331     1.44305   0.0020807
         667     1.50535     1.44314  0.00207967
         668     1.50701     1.44324  0.00207876
         669     1.50827     1.44334  0.00207792
         670     1.50911     1.44343  0.00207714
         671     1.50953     1.44353  0.00207637
         672     1.50951     1.44363  0.00207561
         673     1.50907     1.44373   0.0020748
         674     1.50819     1.44382  0.00207392
         675     1.50688     1.44392  0.00207295
         676     1.50515     1.44401  0.00207186
         677     1.50302      1.4441  0.00207064
         678     1.50051     1.44418  0.00206925
         679     1.49764     1.44426   0.0020677
         680     1.49443     1.44433  0.00206598
         681     1.49093      1.4444  0.00206408
         682     1.48716     1.44446    0.002062
         683     1.48317     1.44452  0.00205976
         684     1.47898     1.44457  0.00205737
         685     1.47465     1.44461  0.00205483
         686     1.47021     1.44465  0.00205218
         687      1.4657     1.44468  0.00204942
         688     1.46117      1.4447  0.00204658
         689     1.45665     1.44472  0.00204368
         690     1.45218     1.44473  0.00204075
         691     1.44779     1.44474   0.0020378
         692     1.44352     1.44474  0.00203486
         693     1.43939     1.44473  0.00203193
         694     1.43541     1.44471  0.00202905
         695     1.43161      1.4447  0.00202622
         696       1.428     1.44467  0.00202345
         697     1.42457     1.44464  0.00202075
         698     1.42133     1.44461  0.00201813
         699     1.41828     1.44457   0.0020156
         700      1.4154     1.44453  0.00201315
         701     1.41268     1.44448  0.00201079
         702     1.41011     1.44444  0.00200852
         703     1.40767     1.44438  0.00200634
         704     1.40535     1.44433  0.00200426
         705     1.40313     1.44427  0.00200227
         706     1.40099     1.44421  0.00200037
         707     1.39891     1.44414  0.00199857
         708     1.39688     1.44408  0.00199686
         709     1.39488     1.44401  0.00199525
         710     1.39292     1.44394  0.00199374
         711     1.39096     1.44386  0.00199232
         712     1.38902     1.44378  0.00199101
         713     1.38708     1.44371  0.00198981
         714     1.38514     1.44362  0.00198871
         715      1.3832     1.44354  0.00198773
         716     1.38126     1.44345  0.00198685
         717     1.37932     1.44336  0.00198609
         718     1.37738     1.44327  0.00198545
         719     1.37544     1.44318  0.00198493
         720     1.37352     1.44308  0.00198453
         721     1.37162     1.44298  0.00198425
         722     1.36974     1.44288  0.00198409
         723     1.36788     1.44277  0.00198406
         724     1.36607     1.44267  0.00198415
         725      1.3643     1.44256  0.00198435
         726     1.36258     1.44245  0.00198467
         727     1.36093     1.44234  0.00198511
         728     1.35936     1.44222  0.00198565
         729     1.35787     1.44211   0.0019863
