# DISTANCE:     AVE_GOFR:        ERROR:
     2.26999      1.0562  0.00416257
     2.29564     1.03195  0.00556806
     2.32129     1.00349  0.00746869
     2.34694    0.975521  0.00708096
     2.37259      0.9645   0.0070261
     2.39824    0.944898  0.00735708
     2.42389    0.927614  0.00707352
     2.44954     0.91138  0.00833746
     2.47519    0.910416  0.00434493
     2.50084    0.898539  0.00246052
     2.52649    0.899468  0.00344047
     2.55214    0.898596  0.00477334
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.21577e-05 1.13725e-05
    0.884913  0.00100876 0.000248926
    0.910562   0.0241719  0.00101738
    0.936212    0.168502  0.00271561
    0.961861    0.591038  0.00515807
    0.987511     1.22973  0.00622407
     1.01316     1.86902  0.00690128
     1.03881     2.33712   0.0104752
     1.06446     2.56748  0.00986332
     1.09011     2.55986   0.0163242
     1.11576     2.38757   0.0121459
     1.14141      2.1727   0.0106171
     1.16706     1.94252   0.0102643
     1.19271     1.74099  0.00639887
     1.21836     1.54699   0.0104188
     1.24401     1.38111   0.0121716
     1.26966     1.23352  0.00659827
     1.29531     1.11776   0.0088872
     1.32096     1.02919  0.00895032
     1.34661    0.946894  0.00501654
     1.37226    0.859142  0.00597225
     1.39791    0.806208  0.00917927
     1.42355    0.768591  0.00674879
      1.4492    0.733107  0.00747318
     1.47485    0.707155  0.00783019
      1.5005    0.694331  0.00569863
     1.52615    0.690732  0.00554642
      1.5518    0.678903  0.00569127
     1.57745    0.677149  0.00602736
      1.6031    0.692454  0.00236182
     1.62875    0.690492  0.00547146
      1.6544    0.708165  0.00521251
     1.68005    0.738431  0.00335098
      1.7057    0.765295   0.0034826
     1.73135     0.78671  0.00399455
       1.757    0.814877  0.00507295
     1.78265    0.853788  0.00351277
      1.8083     0.89579  0.00565391
     1.83395    0.936915  0.00367958
      1.8596    0.971492  0.00567211
     1.88525     1.00662  0.00791721
      1.9109     1.05286  0.00388528
     1.93655     1.09634  0.00468714
      1.9622     1.13409  0.00574794
     1.98785     1.16472  0.00480903
      2.0135     1.19601  0.00547181
     2.03915     1.20945  0.00560401
      2.0648     1.21302  0.00506593
     2.09045     1.21329  0.00535473
      2.1161      1.2007  0.00669341
     2.14174     1.19174  0.00659898
     2.16739     1.17786  0.00850343
     2.19304     1.14112  0.00553401
     2.21869     1.10848  0.00357691
     2.24434     1.08557  0.00217438
     2.26999      1.0576  0.00387171
     2.29564     1.03451  0.00542868
     2.32129     1.00632   0.0070519
     2.34694    0.977209  0.00639365
     2.37259    0.965003  0.00616585
     2.39824    0.946398  0.00658851
     2.42389    0.925849   0.0064059
     2.44954    0.910615  0.00733025
     2.47519    0.906961  0.00498978
     2.50084    0.893794  0.00493321
     2.52649    0.896317  0.00421336
     2.55214    0.899623  0.00428582
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.80114e-05 1.15173e-05
    0.884913  0.00111065 0.000241222
    0.910562   0.0239979   0.0009191
    0.936212    0.167689  0.00253261
    0.961861    0.588746  0.00506893
    0.987511     1.22953  0.00553572
     1.01316     1.87419  0.00783876
     1.03881     2.34124   0.0100883
     1.06446     2.57495   0.0112473
     1.09011     2.55972   0.0145111
     1.11576     2.39103   0.0112788
     1.14141      2.1747  0.00962419
     1.16706     1.94339  0.00916067
     1.19271     1.73718  0.00672792
     1.21836     1.54214   0.0103254
     1.24401     1.37664   0.0116102
     1.26966     1.23276  0.00590885
     1.29531     1.11381  0.00873421
     1.32096     1.02742   0.0081291
     1.34661      0.9425  0.00608639
     1.37226    0.858796  0.00531869
     1.39791    0.804914  0.00825009
     1.42355    0.768059  0.00601988
      1.4492    0.735418  0.00699102
     1.47485    0.708272   0.0070395
      1.5005    0.695457  0.00517566
     1.52615    0.688889   0.0052273
      1.5518    0.680056  0.00517425
     1.57745    0.679934  0.00596644
      1.6031    0.693576  0.00235064
     1.62875    0.691027  0.00488967
      1.6544     0.70779  0.00464686
     1.68005    0.735988  0.00376571
      1.7057    0.763101   0.0037232
     1.73135    0.787485  0.00362523
       1.757    0.814544  0.00452022
     1.78265     0.85432  0.00316259
      1.8083    0.893563  0.00544675
     1.83395    0.936765   0.0032738
      1.8596    0.970164  0.00519505
     1.88525      1.0079  0.00714047
      1.9109     1.05523  0.00411433
     1.93655     1.09745  0.00429668
      1.9622     1.13746  0.00601742
     1.98785      1.1699  0.00648747
      2.0135     1.19791  0.00518447
     2.03915     1.20939  0.00498171
      2.0648     1.21386   0.0045723
     2.09045     1.21298  0.00476864
      2.1161     1.20145  0.00599146
     2.14174     1.19033  0.00601542
     2.16739     1.17817  0.00756397
     2.19304     1.14155  0.00493579
     2.21869     1.10743  0.00332787
     2.24434     1.08371  0.00260851
     2.26999     1.05568  0.00388885
     2.29564      1.0329  0.00506037
     2.32129     1.00502  0.00638705
     2.34694    0.976945  0.00568866
     2.37259    0.964838  0.00548297
     2.39824    0.944523  0.00611724
     2.42389     0.92401  0.00595229
     2.44954    0.908936   0.0067054
     2.47519    0.906678  0.00444339
