#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         371    -5.22582    -5.41845    0.026013
         372    -5.22624    -5.41794   0.0259482
         373    -5.22666    -5.41742   0.0258838
         374    -5.22617    -5.41691   0.0258196
         375     -5.2261     -5.4164   0.0257558
         376    -5.22523     -5.4159   0.0256923
         377    -5.22464    -5.41539   0.0256291
         378    -5.22325    -5.41488   0.0255664
         379     -5.2217    -5.41437    0.025504
         380    -5.22002    -5.41386    0.025442
         381    -5.21807    -5.41335   0.0253804
         382    -5.21577    -5.41283   0.0253192
         383     -5.2133    -5.41231   0.0252585
         384    -5.21043    -5.41178   0.0251982
         385    -5.20797    -5.41125   0.0251383
         386    -5.20492    -5.41072   0.0250789
         387    -5.20254    -5.41018   0.0250198
         388    -5.19998    -5.40964   0.0249612
         389     -5.1982    -5.40909    0.024903
         390    -5.19586    -5.40855   0.0248451
         391     -5.1939      -5.408   0.0247876
         392    -5.19246    -5.40745   0.0247305
         393    -5.19111     -5.4069   0.0246737
         394    -5.19029    -5.40635   0.0246172
         395    -5.18921     -5.4058    0.024561
         396     -5.1883    -5.40525   0.0245051
         397    -5.18753     -5.4047   0.0244495
         398    -5.18656    -5.40415   0.0243942
         399    -5.18613    -5.40361   0.0243392
         400    -5.18574    -5.40306   0.0242845
         401    -5.18554    -5.40252     0.02423
         402    -5.18475    -5.40198   0.0241757
         403    -5.18473    -5.40144   0.0241218
         404    -5.18517     -5.4009    0.024068
         405    -5.18487    -5.40037   0.0240145
         406    -5.18443    -5.39984   0.0239612
         407    -5.18434    -5.39931   0.0239082
         408    -5.18353    -5.39878   0.0238554
         409    -5.18383    -5.39825   0.0238029
         410     -5.1839    -5.39773   0.0237506
         411    -5.18373    -5.39721   0.0236985
         412    -5.18363    -5.39669   0.0236467
         413    -5.18329    -5.39618   0.0235951
         414    -5.18345    -5.39566   0.0235437
         415    -5.18335    -5.39515   0.0234925
         416    -5.18372    -5.39464   0.0234415
         417    -5.18408    -5.39414   0.0233907
         418    -5.18439    -5.39364   0.0233402
         419    -5.18478    -5.39314   0.0232898
         420     -5.1843    -5.39264   0.0232396
         421    -5.18457    -5.39215   0.0231897
         422    -5.18434    -5.39165     0.02314
         423    -5.18283    -5.39116   0.0230905
         424     -5.1818    -5.39067   0.0230413
         425    -5.18046    -5.39017   0.0229924
         426    -5.17924    -5.38968   0.0229438
         427    -5.17781    -5.38918   0.0228954
         428    -5.17568    -5.38868   0.0228474
         429    -5.17268    -5.38818   0.0227996
