#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         591     2.47104     2.33025   0.0828825
         592     2.46223     2.33048   0.0827428
         593     2.45416     2.33068   0.0826035
         594     2.44759     2.33088   0.0824647
         595     2.44298     2.33107   0.0823263
         596     2.43937     2.33125   0.0821884
         597     2.43602     2.33143   0.0820509
         598     2.43366      2.3316   0.0819138
         599     2.43273     2.33177   0.0817773
         600     2.43225     2.33193   0.0816411
         601     2.43293      2.3321   0.0815055
         602     2.43375     2.33227   0.0813703
         603     2.43518     2.33244   0.0812355
         604     2.43789     2.33262   0.0811012
         605     2.44161      2.3328   0.0809673
         606     2.44704     2.33298   0.0808339
         607     2.45221     2.33318    0.080701
         608     2.45805     2.33339   0.0805685
         609     2.46477      2.3336   0.0804365
         610     2.47187     2.33383    0.080305
         611     2.48028     2.33407   0.0801739
         612     2.48854     2.33432   0.0800433
         613     2.49759     2.33459   0.0799132
         614     2.50619     2.33487   0.0797835
         615     2.51503     2.33516   0.0796543
         616     2.52406     2.33547   0.0795256
         617     2.53467     2.33579   0.0793974
         618     2.54606     2.33613   0.0792696
         619     2.55744     2.33649   0.0791424
         620     2.56917     2.33686   0.0790156
         621     2.58015     2.33725   0.0788893
         622     2.59168     2.33766   0.0787636
         623     2.60238     2.33809   0.0786383
         624     2.61254     2.33853   0.0785135
         625     2.62147     2.33898   0.0783892
         626     2.62968     2.33944   0.0782653
         627     2.63624     2.33992   0.0781419
         628     2.64239      2.3404    0.078019
         629     2.64721     2.34089   0.0778965
         630     2.64958     2.34138   0.0777744
         631      2.6508     2.34187   0.0776527
         632     2.64883     2.34235   0.0775313
         633     2.64555     2.34283   0.0774103
         634     2.64045      2.3433   0.0772896
         635     2.63405     2.34376   0.0771693
         636     2.62473      2.3442   0.0770492
         637     2.61284     2.34462   0.0769294
         638      2.6002     2.34502   0.0768099
         639     2.58627      2.3454   0.0766906
         640     2.57027     2.34575   0.0765716
         641      2.5534     2.34608   0.0764528
         642     2.53444     2.34637   0.0763343
         643      2.5165     2.34663    0.076216
         644     2.49763     2.34687    0.076098
         645     2.47807     2.34707   0.0759803
         646     2.45946     2.34725   0.0758629
         647     2.44152     2.34739   0.0757458
         648     2.42345     2.34751    0.075629
         649     2.40541      2.3476   0.0755125
         650     2.38754     2.34766   0.0753964
         651     2.37116      2.3477   0.0752806
         652     2.35491     2.34771   0.0751651
         653     2.34055      2.3477     0.07505
         654     2.32623     2.34766   0.0749352
         655     2.31294     2.34761   0.0748209
         656      2.3012     2.34754   0.0747068
         657     2.29055     2.34745   0.0745932
         658     2.28101     2.34735   0.0744799
         659      2.2733     2.34724   0.0743669
         660      2.2655     2.34712   0.0742544
         661     2.25857     2.34698   0.0741422
         662     2.25372     2.34684   0.0740303
         663     2.24952     2.34669   0.0739188
         664     2.24718     2.34654   0.0738076
         665     2.24623     2.34639   0.0736968
         666     2.24571     2.34624   0.0735863
         667     2.24564     2.34609   0.0734761
         668     2.24798     2.34595   0.0733663
         669     2.25034      2.3458   0.0732567
         670     2.25371     2.34566   0.0731475
         671      2.2591     2.34554   0.0730386
         672     2.26628     2.34542     0.07293
         673     2.27482     2.34531   0.0728217
         674     2.28596     2.34522   0.0727137
         675     2.29755     2.34515   0.0726061
         676     2.31011      2.3451   0.0724987
         677     2.32437     2.34507   0.0723916
         678     2.34084     2.34507   0.0722848
         679     2.35734     2.34508   0.0721784
         680     2.37459     2.34513   0.0720722
         681     2.39475      2.3452   0.0719664
         682     2.41634      2.3453    0.071861
         683     2.43859     2.34544   0.0717559
         684      2.4629     2.34561   0.0716512
         685     2.48798     2.34582   0.0715469
         686       2.514     2.34607    0.071443
         687     2.54109     2.34635   0.0713396
         688     2.56892     2.34667   0.0712366
         689     2.59832     2.34704   0.0711342
         690     2.62867     2.34745   0.0710323
         691     2.65838      2.3479   0.0709309
         692     2.68901     2.34839   0.0708301
         693     2.72063     2.34893   0.0707299
         694     2.75213     2.34951   0.0706304
         695      2.7848     2.35013   0.0705316
         696     2.81463      2.3508   0.0704334
         697     2.84532     2.35151   0.0703359
         698     2.87649     2.35226   0.0702391
         699     2.90633     2.35306   0.0701431
         700     2.93518     2.35389   0.0700479
         701     2.96342     2.35476   0.0699533
         702     2.98971     2.35566   0.0698595
         703     3.01613      2.3566   0.0697665
         704     3.04163     2.35757   0.0696742
         705     3.06492     2.35858   0.0695825
         706     3.08738     2.35961   0.0694916
         707     3.10896     2.36067   0.0694014
         708      3.1279     2.36175   0.0693119
         709     3.14612     2.36286   0.0692229
         710     3.16284     2.36399   0.0691346
         711     3.17805     2.36513   0.0690469
         712     3.19318     2.36629   0.0689597
         713     3.20536     2.36747    0.068873
         714     3.21602     2.36866   0.0687868
         715     3.22471     2.36986    0.068701
         716     3.23243     2.37106   0.0686156
         717     3.23871     2.37227   0.0685306
         718      3.2436     2.37348   0.0684459
         719     3.24788      2.3747   0.0683615
         720     3.25087     2.37592   0.0682774
         721     3.25216     2.37713   0.0681935
         722     3.25229     2.37834   0.0681098
         723     3.25085     2.37955   0.0680263
         724     3.24791     2.38075   0.0679429
         725     3.24402     2.38194   0.0678596
         726     3.24022     2.38312   0.0677765
         727     3.23561      2.3843   0.0676934
         728     3.23052     2.38546   0.0676104
         729     3.22453     2.38661   0.0675274
         730     3.21819     2.38775   0.0674445
         731      3.2099     2.38887   0.0673616
         732      3.2026     2.38999   0.0672788
         733     3.19396     2.39108   0.0671959
         734     3.18501     2.39216   0.0671131
         735     3.17604     2.39323   0.0670303
         736     3.16713     2.39428   0.0669474
         737     3.15784     2.39532   0.0668646
         738     3.14896     2.39634   0.0667818
         739     3.13982     2.39735    0.066699
         740     3.13023     2.39834   0.0666162
         741      3.1212     2.39931   0.0665335
         742     3.11206     2.40027   0.0664507
         743     3.10382     2.40122   0.0663681
