#VELOCITY:     AVE_POFV:     PROGR_AVE_POFV:        ERROR:
     5.56257           0 1.50463e-06  0.00015734
   0.0942809 0.000277906 0.000265513  0.00276148
    0.282843   0.0255148   0.0237999    0.425004
    0.471405   0.0713819   0.0510424    0.597465
    0.659966   0.0996134   0.0808378    0.823383
    0.848528    0.120756    0.103719     1.03806
     1.03709    0.137048     0.11398      1.1108
     1.22565    0.137407    0.116018     1.12249
     1.41421    0.117617    0.104084     1.00891
     1.60278   0.0952296    0.085723    0.854231
     1.79134   0.0750644   0.0672054    0.702571
      1.9799   0.0490694   0.0475967    0.548864
     2.16846    0.029631   0.0325565    0.401628
     2.35702   0.0168236   0.0197731    0.259193
     2.54558   0.0110153   0.0114864    0.159287
     2.73415  0.00530231  0.00667873    0.107083
     2.92271  0.00241157   0.0038659   0.0943849
     3.11127  0.00128611  0.00206032   0.0455484
     3.29983 0.000678241  0.00121383    0.035045
     3.48839 0.000250926  0.00059567   0.0193221
     3.67696 4.30556e-05 0.000210866  0.00759012
     3.86552  3.7037e-06 0.000214542   0.0169441
     4.05408 4.16667e-06 0.000214788   0.0208023
     4.24264 5.09259e-06 5.48475e-05  0.00544939
      4.4312 6.48148e-06 2.22767e-05  0.00229195
     4.61976 1.66667e-05 7.70697e-06 0.000705845
     4.80833           0 2.53268e-06 0.000265363
     4.99689           0 2.58715e-06 0.000271069
     5.18545           0 2.50545e-06 0.000262509
     5.37401           0 1.17102e-06 0.000122694
     5.56257           0 1.41612e-06 0.000148375
   0.0942809 0.000277069 0.000266155  0.00260894
    0.282843   0.0246009   0.0238444     0.40142
    0.471405   0.0655181   0.0518466     0.57055
    0.659966    0.095713   0.0816642    0.782462
    0.848528    0.128848    0.105115    0.991278
     1.03709    0.144701    0.115686     1.06427
     1.22565    0.140459    0.117376     1.06967
     1.41421    0.118757    0.104899    0.956697
     1.60278   0.0955431   0.0862685    0.808803
     1.79134     0.06935   0.0673246    0.663657
      1.9799   0.0447472   0.0474384    0.518638
     2.16846   0.0273079   0.0322649    0.380548
     2.35702   0.0162245    0.019576    0.245666
     2.54558   0.0138731    0.011619     0.15108
     2.73415  0.00503287  0.00658729    0.101588
     2.92271  0.00343935  0.00384221    0.089176
     3.11127  0.00116343  0.00201049   0.0433346
     3.29983 0.000558796  0.00117744   0.0333177
     3.48839 0.000351852 0.000582124    0.018304
     3.67696 9.62963e-05 0.000204501  0.00719951
     3.86552 2.12963e-05 0.000203807   0.0160424
     4.05408 5.55556e-06 0.000203164   0.0196845
     4.24264           0 5.18004e-05  0.00515657
      4.4312           0 2.10391e-05  0.00216851
     4.61976           0 7.27881e-06 0.000668144
     4.80833           0 2.39198e-06 0.000251055
     4.99689           0 2.44342e-06 0.000256454
     5.18545           0 2.36626e-06 0.000248355
     5.37401           0 1.10597e-06 0.000116079
     5.56257           0 1.33745e-06 0.000140375
   0.0942809 0.000263853 0.000266034  0.00247166
    0.282843   0.0288796   0.0241094    0.381311
    0.471405   0.0689634   0.0527475    0.548754
    0.659966    0.100271   0.0826435    0.748394
    0.848528    0.134445    0.106659    0.953023
     1.03709    0.145644    0.117263     1.02179
     1.22565    0.138563    0.118491     1.02012
     1.41421     0.11402    0.105379    0.907748
     1.60278   0.0928278   0.0866138    0.767093
     1.79134   0.0639968   0.0671494    0.628998
      1.9799      0.0523   0.0476943    0.492077
     2.16846   0.0258528   0.0319274     0.36226
     2.35702   0.0154671   0.0193597    0.233844
     2.54558   0.0081088   0.0114342     0.14444
     2.73415  0.00412315   0.0064576   0.0972023
     2.92271  0.00174444   0.0037318    0.085276
     3.11127  0.00052963  0.00193255   0.0418634
     3.29983 0.000256944    0.001129   0.0319724
     3.48839 4.30556e-05 0.000553752   0.0175952
     3.67696 3.24074e-06 0.000193908  0.00691088
     3.86552 4.62963e-06 0.000193324    0.015238
     4.05408 6.01852e-06 0.000192788   0.0186803
     4.24264 9.72222e-06 4.95858e-05  0.00489072
      4.4312 1.89815e-05 2.09308e-05  0.00205441
     4.61976           0 6.89571e-06 0.000634259
     4.80833           0 2.26608e-06 0.000238209
     4.99689           0 2.31481e-06 0.000243332
     5.18545           0 2.24172e-06 0.000235648
     5.37401           0 1.04776e-06  0.00011014
     5.56257           0 1.26706e-06 0.000133192
   0.0942809 0.000267336 0.000266099  0.00234809
    0.282843   0.0255685   0.0241824    0.362327
    0.471405   0.0615616   0.0531882    0.523377
    0.659966    0.100333    0.083528    0.717045
    0.848528    0.135507    0.108101    0.918015
     1.03709     0.14661    0.118731    0.982913
     1.22565    0.137115    0.119423    0.974063
     1.41421    0.115005    0.105861    0.863848
     1.60278    0.103607   0.0874634    0.734207
     1.79134    0.068988   0.0672414    0.597626
      1.9799   0.0454343   0.0475813    0.467624
     2.16846   0.0262486   0.0316435    0.345443
     2.35702   0.0159884   0.0191912    0.222859
     2.54558  0.00813519   0.0112693    0.138313
     2.73415  0.00370046  0.00631975   0.0934755
     2.92271  0.00150463  0.00362044   0.0818559
     3.11127   0.0006375   0.0018678   0.0403501
     3.29983 0.000333796  0.00108924   0.0306607
     3.48839 0.000118519 0.000531991   0.0168717
     3.67696 4.25926e-05 0.000186343  0.00661347
     3.86552 6.48148e-05 0.000186898   0.0144919
     4.05408 1.15741e-05 0.000183727   0.0177719
     4.24264           0 4.71065e-05  0.00465351
      4.4312           0 1.98843e-05   0.0019548
     4.61976           0 6.55093e-06 0.000603638
     4.80833           0 2.15278e-06 0.000226613
     4.99689           0 2.19907e-06 0.000231486
     5.18545           0 2.12963e-06 0.000224176
     5.37401           0  9.9537e-07 0.000104778
     5.56257           0  1.2037e-06 0.000126708
   0.0942809 0.000274825 0.000266514   0.0022367
    0.282843   0.0233745   0.0241439    0.345097
    0.471405   0.0555454   0.0533005    0.498594
    0.659966   0.0956662    0.084106    0.685612
    0.848528    0.133265      0.1093    0.883375
     1.03709    0.135708    0.119539    0.939977
     1.22565    0.145007    0.120641    0.936523
     1.41421    0.125108    0.106777    0.828364
     1.60278    0.106996   0.0883935    0.706083
     1.79134   0.0690611    0.067328    0.569241
      1.9799    0.045956   0.0475039    0.445431
     2.16846   0.0287468   0.0315055    0.329314
     2.35702   0.0159125   0.0190351    0.212884
     2.54558  0.00896111   0.0111594    0.132235
     2.73415  0.00415741  0.00621678   0.0896833
     2.92271  0.00176111   0.0035319   0.0785145
     3.11127 0.000737963    0.001814   0.0388448
     3.29983 0.000273611   0.0010504   0.0294862
     3.48839 0.000105093 0.000511662   0.0162105
     3.67696 4.67593e-05 0.000179696  0.00633738
     3.86552 6.34259e-05 0.000181019   0.0138157
     4.05408 2.82407e-05 0.000176323   0.0169436
     4.24264           0 4.48633e-05  0.00443821
      4.4312           0 1.89374e-05  0.00186439
     4.61976           0 6.23898e-06 0.000575832
     4.80833           0 2.05026e-06 0.000216092
     4.99689           0 2.09436e-06 0.000220739
     5.18545           0 2.02822e-06 0.000213769
     5.37401           0 9.47972e-07 9.99136e-05
     5.56257           0 1.14638e-06 0.000120826
