#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         483    0.036027   0.0736006   0.0400442
         484  -0.0936785    0.073255    0.039963
         485   0.0380113   0.0731823   0.0398806
         486  -0.0483122   0.0729323   0.0397993
         487   0.0875988   0.0729624   0.0397176
         488   -0.511579   0.0717646   0.0396543
         489   -0.677514   0.0702323   0.0396028
         490   -0.586457   0.0688922   0.0395447
         491   -0.331896   0.0680759   0.0394725
         492   0.0744775   0.0680889   0.0393923
         493    0.179914   0.0683157   0.0393131
         494    0.541685    0.069274   0.0392452
         495    0.370001   0.0698815   0.0391706
         496  0.00434358   0.0697494   0.0390918
         497    0.171516   0.0699541   0.0390137
         498    0.169253   0.0701535   0.0389359
         499     0.19062   0.0703949   0.0388586
         500    0.305121   0.0708644   0.0387837
         501   0.0858445   0.0708943   0.0387063
         502     0.62397    0.071996   0.0386449
         503    0.391995   0.0726322   0.0385733
         504     0.41425     0.07331   0.0385027
         505    0.448743   0.0740535   0.0384336
         506     1.05963   0.0760012    0.038407
         507     1.09409   0.0780093   0.0383837
         508    0.882188   0.0795923   0.0383408
         509    0.490437   0.0803995    0.038274
         510    0.364842   0.0809572    0.038203
         511    0.648186   0.0820673   0.0381443
         512    0.491787   0.0828675   0.0380782
         513     0.66515   0.0840025   0.0380209
         514    0.544276    0.084898   0.0379575
         515    0.685066   0.0860634   0.0379017
         516    0.562512   0.0869867   0.0378395
         517    0.639706   0.0880558   0.0377814
         518  -0.0227315    0.087842    0.037709
         519    0.611872   0.0888516   0.0376499
         520    0.508001   0.0896577   0.0375861
         521    0.579881   0.0905986   0.0375258
         522    0.794724   0.0919475   0.0374781
         523    0.569948   0.0928615   0.0374176
         524    0.369725   0.0933899   0.0373499
         525    0.713752   0.0945715   0.0372975
         526    0.995679   0.0962846   0.0372659
         527     1.13875   0.0982627   0.0372476
         528     1.15431    0.100263   0.0372307
         529      1.1927    0.102328   0.0372176
         530      1.3006    0.104589    0.037216
         531     1.34305    0.106921   0.0372189
         532     1.10688    0.108801   0.0371964
         533    0.846674    0.110185   0.0371523
         534    0.729866    0.111346   0.0371009
         535    0.762805    0.112563   0.0370515
         536    0.472376    0.113235   0.0369885
         537    0.914173    0.114726   0.0369496
         538     1.06151    0.116486   0.0369228
         539    0.551476    0.117293   0.0368632
         540    0.488998    0.117981   0.0368013
         541    0.819622    0.119278   0.0367561
         542    0.895757    0.120711   0.0367162
         543     1.10169    0.122517    0.036693
         544    0.945043    0.124029   0.0366567
         545     1.09959    0.125819   0.0366331
         546    0.834631    0.127118   0.0365891
         547     1.00023    0.128714    0.036557
         548    0.976731    0.130261    0.036523
         549    0.446868    0.130838    0.036461
         550    0.943044    0.132315   0.0364246
         551      1.0761    0.134028   0.0363988
         552    0.806562    0.135246   0.0363532
         553    0.421421    0.135763   0.0362912
         554    0.620226    0.136638   0.0362362
         555    0.641409    0.137547   0.0361823
         556    0.675058    0.138514   0.0361301
         557    0.728146    0.139573   0.0360808
         558     1.03223    0.141172   0.0360516
         559     1.22002    0.143102   0.0360387
         560    0.877786    0.144414   0.0359982
         561    0.461128    0.144979   0.0359385
         562    0.224598    0.145121   0.0358748
         563   -0.162832    0.144574   0.0358152
         564    0.189286    0.144653   0.0357518
         565    0.342788    0.145004   0.0356903
         566    0.379855    0.145418   0.0356296
         567   -0.170463    0.144861   0.0355711
         568  -0.0888084     0.14445   0.0355109
         569    0.407398    0.144912   0.0354515
         570      0.6468    0.145793   0.0354002
         571    0.771448    0.146888   0.0353552
         572    0.807292    0.148043   0.0353122
         573      1.0563    0.149628   0.0352862
         574    0.775704    0.150719   0.0352415
         575    0.758903    0.151776   0.0351961
         576    0.805391    0.152911   0.0351533
         577    0.556386     0.15361   0.0350993
         578    0.501715    0.154213   0.0350438
         579    0.267876    0.154409   0.0349838
         580    0.589422    0.155159   0.0349315
         581    0.367252    0.155524   0.0348733
         582    0.323413    0.155813   0.0348146
         583    0.461756    0.156337   0.0347588
         584    0.205244    0.156421   0.0346994
         585    0.220056     0.15653   0.0346403
         586    0.507655    0.157129   0.0345863
         587    0.362744    0.157479   0.0345292
         588    0.451382    0.157979   0.0344741
         589    0.572637    0.158683   0.0344227
         590    0.251965    0.158841   0.0343647
         591    0.192241    0.158898   0.0343066
